127.0.0.1 - - [07/Dec/2017:13:52:46 +0900] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:52:47 +0900] "GET /SpringMVC/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:52:47 +0900] "GET /SpringMVC/login HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:10 +0900] "POST /SpringMVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:10 +0900] "GET /SpringMVC/ HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:12 +0900] "GET /SpringMVC/gradecheck HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:12 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:13 +0900] "GET /SpringMVC/detail?year=2014&semester=1 HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:13 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:14 +0900] "GET /SpringMVC/gradecheck HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:14 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:15 +0900] "GET /SpringMVC/detail?year=2017&semester=1 HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:15 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:15 +0900] "GET /SpringMVC/gradecheck HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:15 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:15 +0900] "GET /SpringMVC/detail?year=2014&semester=2 HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:15 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:16 +0900] "GET /SpringMVC/gradecheck HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:16 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:17 +0900] "GET /SpringMVC/detail?year=2014&semester=1 HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:17 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:17 +0900] "GET /SpringMVC/gradecheck HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:17 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:18 +0900] "GET /SpringMVC/detail?year=2013&semester=2 HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:18 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:18 +0900] "GET /SpringMVC/gradecheck HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:18 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:19 +0900] "GET /SpringMVC/detail?year=2013&semester=1 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:19 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:20 +0900] "GET /SpringMVC/gradecheck HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:20 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:21 +0900] "GET /SpringMVC/detail?year=2013&semester=1 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:21 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:22 +0900] "GET /SpringMVC/gradecheck HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:22 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:22 +0900] "GET /SpringMVC/detail?year=2013&semester=2 HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:22 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:23 +0900] "GET /SpringMVC/gradecheck HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:23 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:23 +0900] "GET /SpringMVC/ HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:55:24 +0900] "GET /SpringMVC/gradecheck2 HTTP/1.1" 500 20363
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:58:34 +0900] "GET /SpringMVC/ HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:58:34 +0900] "GET /SpringMVC/ HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:58:35 +0900] "GET /SpringMVC/ HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:58:35 +0900] "GET /SpringMVC/ HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:58:36 +0900] "GET /SpringMVC/gradecheck2 HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:58:36 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:59:22 +0900] "GET /SpringMVC/ HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:59:23 +0900] "GET /SpringMVC/ HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:59:24 +0900] "GET /SpringMVC/gradecheck2 HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [07/Dec/2017:13:59:24 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:14:00:08 +0900] "GET /SpringMVC/ HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [07/Dec/2017:14:00:09 +0900] "GET /SpringMVC/gradecheck2 HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [07/Dec/2017:14:00:09 +0900] "GET /SpringMVC/resources/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [07/Dec/2017:14:00:10 +0900] "GET /SpringMVC/ HTTP/1.1" 200 717
